"Sample","replicate","Donor","MFI","severe","dose","time"
"01_120M",1,"1",55.72327088,0,"0.1","120M"
"01_120M",1,"2",66.027915255,0,"0.1","120M"
"01_120M",1,"3",55.24085562,0,"0.1","120M"
"01_120M",1,"4",65.777545045,0,"0.1","120M"
"01_120M",1,"5",66.44714962,0,"0.1","120M"
"01_120M",2,"1",61.1172292456031,0,"0.1","120M"
"01_120M",2,"2",73.5020510405302,0,"0.1","120M"
"01_120M",2,"3",64.9341420084237,0,"0.1","120M"
"01_120M",2,"4",80.9841964170336,0,"0.1","120M"
"01_120M",2,"5",81.1792509108781,0,"0.1","120M"
"01_240M",1,"1",61.11903121,0,"0.1","240M"
"01_240M",1,"2",71.13514924,0,"0.1","240M"
"01_240M",1,"3",60.123000475,0,"0.1","240M"
"01_240M",1,"4",71.37592632,0,"0.1","240M"
"01_240M",1,"5",77.16862772,0,"0.1","240M"
"01_240M",2,"1",61.7873796522617,0,"0.1","240M"
"01_240M",2,"2",74.6221301630139,0,"0.1","240M"
"01_240M",2,"3",64.1011316478252,0,"0.1","240M"
"01_240M",2,"4",77.715351909399,0,"0.1","240M"
"01_240M",2,"5",80.4152579084038,0,"0.1","240M"
"01_30M",1,"1",59.67086871,0,"0.1","30M"
"01_30M",1,"2",68.50314145,0,"0.1","30M"
"01_30M",1,"3",56.962279475,0,"0.1","30M"
"01_30M",1,"4",71.43718192,0,"0.1","30M"
"01_30M",1,"5",72.41901615,0,"0.1","30M"
"01_30M",2,"1",60.8734354972839,0,"0.1","30M"
"01_30M",2,"2",74.8734028935432,0,"0.1","30M"
"01_30M",2,"3",64.1831683665513,0,"0.1","30M"
"01_30M",2,"4",78.3559233248234,0,"0.1","30M"
"01_30M",2,"5",84.4516521096229,0,"0.1","30M"
"01_60M",1,"1",52.89495026,0,"0.1","60M"
"01_60M",1,"2",61.19730353,0,"0.1","60M"
"01_60M",1,"3",53.04174897,0,"0.1","60M"
"01_60M",1,"4",66.29090369,0,"0.1","60M"
"01_60M",1,"5",67.82357001,0,"0.1","60M"
"01_60M",2,"1",68.7626037076116,0,"0.1","60M"
"01_60M",2,"2",78.6082946509122,0,"0.1","60M"
