tissue,cytokine,time,Donor 4,Donor 4,Donor 4,Donor 5,Donor 5,Donor 5,Donor 7,Donor 7,Donor 7,Donor 10,Donor 10,Donor 10,Donor 1,Donor 1,Donor 1,Donor 2,Donor 2,Donor 2,Donor 3,Donor 3,Donor 3,Donor 6,Donor 6,Donor 6,Donor 8,Donor 8,Donor 8,Donor 9,Donor 9,Donor 9
Keratinocytes,CXCL10,Untreated,1.53,0.99,0.66,0.82,1.41,0.86,0.96,1.46,0.71,0.78,0.81,1.59,0.48,0.97,2.14,0.67,0.95,1.58,1.31,1.08,0.71,1.73,0.42,1.38,1.44,0.61,1.14,0.78,1.09,1.17
Keratinocytes,CXCL10,4HPT,71320.73,46990.52,12546.72,12897.89,28045.76,15247.94,11621.34,13357.97,56563.11,1854.59,8272.75,8496.59,2525.64,2676.17,6913.55,7200.49,50194.69,60218.4,12164.56,2775.25,4529.03,2403.22,1234.36,2484.79,1793.07,20447.57,4152.95,18669.75,7645.32,5263.99
Keratinocytes,CXCL10,24HPT,257955.8,253859.57,217626.34,191983.81,138219.56,98777.93,105560.44,127402.2,71394.47,52418.01,50324.27,36399.67,22574.45,31069.06,34951.73,42818.48,40095.5,185330.92,3733.71,3882.08,5476.02,40851.24,72325.4,62945.28,151204.31,163493.32,205184.37,139232.3,143298.79,124886.89
Fibroblasts,CXCL10,Untreated,1.14,0.85,1.03,0.92,1.18,0.92,1.03,0.88,1.11,0.92,1.09,0.5,,,,,,,,,,,,,,,,,,
Fibroblasts,CXCL10,4HPT,845.06,817.3,80.77,154.62,151.61,1104.26,380.28,302.06,756.69,2152.96,112.1,747.19,,,,,,,,,,,,,,,,,,
Fibroblasts,CXCL10,24HPT,1425.96,1650.24,1185.48,888.68,1331.46,965.9,,,,1691.64,692.17,2355.27,,,,,,,,,,,,,,,,,,
Keratinocytes,CCL5,Untreated,1.86,1.11,0.48,1.04,1.06,0.91,0.7,1.05,1.36,0.75,0.88,1.52,1.3,1.59,0.49,1.26,0.75,1.06,0.78,2.15,0.6,3.15,0.35,0.91,1.6,0.51,1.23,0.86,1.26,0.93
Keratinocytes,CCL5,4HPT,3.19,3.18,0.64,0.46,1.01,0.38,1.97,0.64,0.85,0.99,0.68,1.61,1.43,1.12,0.79,0.78,0.9,0.95,1.26,1.4,0.94,1.51,0.89,1.2,0.24,4.32,0.36,0.96,1.39,0.67
Keratinocytes,CCL5,24HPT,378.03,264.23,123.05,24.98,21.24,15.88,44.32,50.2,15.57,24.7,26.71,7.62,10.72,15.8,14.02,27.58,24.69,59.27,9.2,12.5,12.12,23.5,14.94,7.56,3.67,3.45,11.28,53.54,77.55,54.92
Fibroblasts,CCL5,Untreated,0.88,1.43,0.8,0.87,1.11,1.04,1.03,0.88,1.11,0.77,1.3,0.41,,,,,,,,,,,,,,,,,,
Fibroblasts,CCL5,4HPT,1.16,0.77,1.67,1.46,1.34,1.67,0.68,0.57,3.05,1.28,1.01,0.56,,,,,,,,,,,,,,,,,,
Fibroblasts,CCL5,24HPT,55.44,56.59,48.39,2.54,4.08,2.94,,,,69.69,44.5,79.66,,,,,,,,,,,,,,,,,,
Keratinocytes,IL15,Untreated,1.01,1.01,0.98,0.72,1.35,1.03,1.3,0.85,0.9,0.72,1.42,0.98,1.27,0.48,1.08,1.09,1.25,0.73,0.65,1.47,1.05,1.93,0.48,1.08,1.13,1.31,0.68,1.06,1.1,0.86
Keratinocytes,IL15,4HPT,23.13,64.57,30.14,12.9,30.2,13.2,24.07,16.45,18.14,42.64,65,33.92,79.76,42.82,65.94,16.82,19.08,12.77,13.54,34.35,23.45,95.17,42.82,65.94,12.23,21.95,11.58,26.26,15.99,18.71
Keratinocytes,IL15,24HPT,27.21,33.1,18.55,44.49,31.77,23.9,23.41,29.65,10.84,19.02,22.71,10.87,67.92,92.85,73.55,10.68,15.67,36.4,3.23,3.89,3.95,50.77,71.16,47.17,9.95,13.43,9.63,17.59,17.12,19.12
Fibroblasts,IL15,Untreated,1,0.99,1.02,0.54,0.92,2.03,1.24,0.8,1.01,1.88,0.53,0.83,,,,,,,,,,,,,,,,,,
Fibroblasts,IL15,4HPT,5.31,6.05,4.73,2.73,3.47,8.54,7.14,4.1,5.7,21.67,3.69,9.5,,,,,,,,,,,,,,,,,,
Fibroblasts,IL15,24HPT,16.09,18.92,22.27,10.06,11.23,22.12,,,,15.09,182.97,168.82,,,,,,,,,,,,,,,,,,
Keratinocytes,IL12A,Untreated,1.01,1.18,0.85,0.84,1.65,0.72,0.52,1.26,1.52,0.93,0.81,1.34,1.21,0.4,1.37,0.96,0.94,1.1,0.81,1.14,1.08,1.82,0.4,1.37,0.98,0.75,1.37,0.79,1.21,1.05
Keratinocytes,IL12A,4HPT,3.66,12.36,4.31,5.5,10.5,2.63,2.84,3.31,4.62,4.13,2.82,3.32,4.45,2.47,5.32,4.39,2.87,4.39,3.21,6.39,5.83,6.08,2.47,5.32,2.04,10.11,3.63,6.46,5.16,6.41
Keratinocytes,IL12A,24HPT,8.77,10.55,4.59,10.46,7.53,5.41,4.51,4.31,3.98,4.09,2.43,0.95,3.54,3.67,2.97,4.87,5.62,10.71,1.09,1.24,0.69,1.71,3.54,2.72,4.14,3.99,9.06,3.15,3.68,3.13
Fibroblasts,IL12A,Untreated,1.19,0.87,0.96,0.8,1.19,1.05,1.21,0.86,0.96,0.95,1.05,0.47,,,,,,,,,,,,,,,,,,
Fibroblasts,IL12A,4HPT,2.35,1.65,1.52,1.55,1.83,1.92,2.65,1.57,2.47,2.18,1.67,1.15,,,,,,,,,,,,,,,,,,
Fibroblasts,IL12A,24HPT,4.86,5.39,4.94,3.78,4.46,4.22,,,,2.28,71.87,45.69,,,,,,,,,,,,,,,,,,
Keratinocytes,IFI16,Untreated,0.96,1.39,0.75,0.81,1.42,0.87,0.64,1.43,1.09,0.95,0.99,1.06,1.48,1.15,0.59,1.1,1.05,0.87,0.81,1.13,1.1,1.75,0.35,1.64,1.11,0.73,1.23,0.75,1.1,1.21
Keratinocytes,IFI16,4HPT,2.12,8.06,2.39,2.18,3.71,1.3,1.59,2.87,2.33,2.92,2.06,2.39,4.29,2.37,1.94,2.88,2.89,2.35,2.03,3.52,3.74,5.98,2.75,7.28,0.6,5.51,1.07,2.92,2.24,2.83
Keratinocytes,IFI16,24HPT,3.03,3.45,2.04,4.99,3.78,2.56,2.78,3.32,1.79,1.97,1.42,0.74,3.42,4.39,3.62,2.67,3.26,6.49,0.58,0.84,0.49,3.23,5.18,3.26,1.33,1.26,3.97,2.69,3.08,2.44
Fibroblasts,IFI16,Untreated,1.03,1.02,0.95,0.79,1.19,1.07,0.8,1.34,0.93,1.32,0.76,0.4,,,,,,,,,,,,,,,,,,
Fibroblasts,IFI16,4HPT,3.82,3.81,2.61,2.48,3.27,3.07,2.2,1.9,3.47,5.25,1.95,2,,,,,,,,,,,,,,,,,,
Fibroblasts,IFI16,24HPT,2.52,3.44,2.85,2.35,2.86,2.24,,,,2.76,2.82,3.15,,,,,,,,,,,,,,,,,,
