tissue,cytokine,dose,Donor 4,Donor 4,Donor 4,Donor 5,Donor 5,Donor 5,Donor 7,Donor 7,Donor 7,Donor 10,Donor 10,Donor 10,Donor 1,Donor 1,Donor 1,Donor 2,Donor 2,Donor 2,Donor 3,Donor 3,Donor 3,Donor 6,Donor 6,Donor 6,Donor 8,Donor 8,Donor 8,Donor 9,Donor 9,Donor 9
Keratinocytes,CXCL10,0,1.53,0.99,0.66,0.82,1.41,0.86,0.96,1.46,0.71,0.78,0.81,1.59,0.48,0.97,2.14,0.67,0.95,1.58,1.31,1.08,0.71,1.73,0.42,1.38,1.44,0.61,1.14,0.78,1.09,1.17
Keratinocytes,CXCL10,0.1,3759.43,4446.72,1677.75,2279.19,6206.21,5429.72,10.72,27.68,139.67,9.47,46.99,47.4,362.52,863.85,966.54,33.79,269.42,254.64,982.14,727.53,1257.76,111.2,93.43,216.33,0.87,0.27,20.33,786.16,675.66,447.41
Keratinocytes,CXCL10,1,28530.23,27083.67,12586.26,12585.91,14156.97,25568.11,235.63,301.61,2052.49,332.48,1017.19,910.91,1739.23,1744.66,13020.57,343.43,4830.67,4692.5,3753.83,2558.85,2093.43,348.15,639.28,1478.43,24.23,84.06,0.79,3664.02,3499.44,2324.89
Keratinocytes,CXCL10,10,60956.57,35570.22,12423.38,13571.21,32589.53,36557.34,3681.02,4937.99,35881.36,2301.31,4888.6,4811.18,2545.7,3999.76,45996.11,5541.19,59882.26,55714.36,7257.99,3121.83,4213.38,1587.17,1047.62,2009.68,738.71,495.3,847.98,12937.42,8579.13,5955.4
Keratinocytes,CXCL10,100,71320.73,46990.52,12546.72,12897.89,28045.76,15247.94,11621.34,13357.97,56563.11,1854.59,8272.75,8496.59,2525.64,2676.17,6913.55,7200.49,50194.69,60218.4,12164.56,2775.25,4529.03,2403.22,1234.36,2484.79,1793.07,20447.57,4152.95,18669.75,7645.32,5263.99
Fibroblasts,CXCL10,0,1.14,0.85,1.03,0.92,1.18,0.92,1.03,0.88,1.11,0.92,1.09,0.5,,,,,,,,,,,,,,,,,,
Fibroblasts,CXCL10,0.1,54.82,48.9,4.78,11.32,7.67,127.26,1.14,1.13,1.3,23.55,30.07,1.06,,,,,,,,,,,,,,,,,,
Fibroblasts,CXCL10,1,147.51,213.97,25.68,65.1,45.12,349.23,34.29,32.1,48.3,306.48,72.42,212.78,,,,,,,,,,,,,,,,,,
Fibroblasts,CXCL10,10,780.41,941.57,57.23,155.12,181.07,1287,269.97,226.42,191.47,1429.51,115.21,422.96,,,,,,,,,,,,,,,,,,
Fibroblasts,CXCL10,100,845.06,817.3,80.77,154.62,151.61,1104.26,380.28,302.06,756.69,2152.96,112.1,747.19,,,,,,,,,,,,,,,,,,
Keratinocytes,CCL5,0,1.86,1.11,0.48,1.04,1.06,0.91,0.7,1.05,1.36,0.75,0.88,1.52,1.3,1.59,0.49,1.26,0.75,1.06,0.78,2.15,0.6,3.15,0.35,0.91,1.6,0.51,1.23,0.86,1.26,0.93
